token_api,geo_latitude,geo_longitude,raio_alcance,id_dispositivo
ead2ef68-d59b-4423-90f4-c1db3918d7e6,40.7554,-8.0726,445,1
99a9fee5-1ebe-4d9e-a13c-ba06a184b6bb,40.6443,-8.6455,403,2
4ec5e966-979d-4dcb-a4ce-e8718c98d461,39.6841,-8.6034,171,3
d55fc4ee-726a-4543-a242-e37a5192f83a,40.661,-7.9097,63,4
475f9821-cdf0-4bc5-9a3c-5f415c006cc3,39.6207,-8.6524,68,5
1731e546-dfe4-4ddc-aaeb-b12af22b9bcf,38.7833,-27.25,278,6
3a76a7ff-ccd3-4cb9-8b4c-76d63d50c751,41.4742,-8.3692,392,7
7abc076b-a080-4ce5-834a-6ece7ecf2068,41.5067,-8.413,489,8
37f9055f-59a9-45be-af29-09e2d1650d15,41.3878,-8.4111,224,9
8d1f2142-6c2b-4f3d-8983-f732f3df1c4c,37.7462,-25.6669,421,10
8013d9e5-38c7-4140-9b87-712def68a498,38.7167,-9.1333,98,11
b39656de-7ccb-42b4-95a8-6d762d6a0791,39.515,-7.6491,414,12
dc0b129b-a50d-41cb-9989-0b104f4cba27,39.6285,-8.9488,207,13
ed541519-16a8-4c2e-a210-dbb140309a0d,37.4285,-7.8233,57,14
83e74666-944d-48cf-9f2a-12358708d1dc,38.7833,-27.25,414,15
a0ba41f7-71e2-44ea-895c-54b26e56e15f,41.373,-8.0105,337,16
67f07527-d209-476a-9902-be9bd29a90cd,38.5244,-8.8882,156,17
ddaf7d74-9bcb-45e0-88c5-f7059ebc1476,41.1977,-8.3185,125,18
b07a22b8-3ac0-488b-a9a2-61712180c62a,41.5067,-8.413,327,19
2cfdb343-da87-4cf2-a8a6-0a810479b4ac,39.6207,-8.6524,354,20
94a1c82a-5f4e-4a32-b33e-41e224a28300,41.373,-8.0105,200,21
2ad1407b-67cc-4d36-9b99-bf9864bf1f10,41.4925,-8.2021,495,22
dd67f389-cb67-4c7f-bfbe-1e26638bee53,37.85,-25.3167,485,23
68531ebe-d340-49dd-8a5b-d877b7640f32,39.7596,-8.9246,178,24
c2173613-dcab-4fb5-9463-717a3ad98170,41.1397,-7.8,269,25
55da620a-87b7-4c22-ac24-40c057645c86,40.6362,-8.7134,74,26
858fbf92-17b5-4044-bc2e-73778af1c7f9,41.2536,-8.2654,406,27
ff808d60-8a9d-4e5d-82a6-a90b25577737,38.623,-9.0485,424,28
e7bb989f-5f22-4a4c-8147-98a2f95581e5,40.9273,-8.5484,130,29
0c509394-e1e1-4d23-9cd3-3eadf92f815d,41.3874,-6.4263,281,30
