nif_nipc,geo_latitude,geo_longitude,url_certidao_permanente,inicio_atividade
936061179,37.0194,-7.9322,https://certidoes.negocio.pt/936061179.pdf,2013-05-06 15:13:07
962772866,41.2967,-7.5825,https://certidoes.negocio.pt/962772866.pdf,2001-12-27 15:13:07
970570037,37.102,-8.6742,https://certidoes.negocio.pt/970570037.pdf,2025-01-01 15:13:07
903230177,41.5503,-8.4201,https://certidoes.negocio.pt/903230177.pdf,1998-03-22 15:13:07
913741088,39.1224,-7.2862,https://certidoes.negocio.pt/913741088.pdf,2020-09-27 15:13:07
974406950,38.1196,-8.0631,https://certidoes.negocio.pt/974406950.pdf,2024-12-09 15:13:07
554686394,41.6775,-8.7657,https://certidoes.negocio.pt/554686394.pdf,2006-06-23 15:13:07
530090105,41.2766,-8.3762,https://certidoes.negocio.pt/530090105.pdf,2016-05-11 15:13:07
986794838,38.6681,-9.052,https://certidoes.negocio.pt/986794838.pdf,2002-11-07 15:13:07
979847337,38.5091,-9.1666,https://certidoes.negocio.pt/979847337.pdf,2005-03-09 15:13:07
923967880,41.1336,-8.6174,https://certidoes.negocio.pt/923967880.pdf,2024-03-26 15:13:07
520744232,41.1496,-8.611,https://certidoes.negocio.pt/520744232.pdf,1996-06-12 15:13:07
507991786,38.7167,-9.1333,https://certidoes.negocio.pt/507991786.pdf,2016-08-31 15:13:07
965356231,38.9841,-9.0775,https://certidoes.negocio.pt/965356231.pdf,2024-06-27 15:13:07
980676815,41.2104,-8.4549,https://certidoes.negocio.pt/980676815.pdf,2020-09-29 15:13:07
535054401,38.861,-9.0645,https://certidoes.negocio.pt/535054401.pdf,2019-12-13 15:13:07
902989660,40.4151,-7.7086,https://certidoes.negocio.pt/902989660.pdf,1999-07-08 15:13:07
554275035,37.7167,-25.45,https://certidoes.negocio.pt/554275035.pdf,2015-08-03 15:13:07
919671432,32.6333,-16.9,https://certidoes.negocio.pt/919671432.pdf,2024-08-22 15:13:07
918434626,40.6443,-8.6455,https://certidoes.negocio.pt/918434626.pdf,2017-06-17 15:13:07
959266575,40.6372,-7.3904,https://certidoes.negocio.pt/959266575.pdf,2005-05-06 15:13:07
982696499,41.2766,-8.0545,https://certidoes.negocio.pt/982696499.pdf,2003-05-09 15:13:07
975967219,41.1812,-8.1916,https://certidoes.negocio.pt/975967219.pdf,2002-11-24 15:13:07
593904273,38.7167,-9.1333,https://certidoes.negocio.pt/593904273.pdf,2009-08-29 15:13:07
924882092,40.4151,-7.7086,https://certidoes.negocio.pt/924882092.pdf,2024-03-18 15:13:07
917408958,38.7175,-9.2983,https://certidoes.negocio.pt/917408958.pdf,2016-01-10 15:13:07
955092299,41.0335,-8.5497,https://certidoes.negocio.pt/955092299.pdf,2025-03-30 15:13:07
535129172,38.7067,-8.9739,https://certidoes.negocio.pt/535129172.pdf,2022-12-24 15:13:07
534752152,38.6681,-9.052,https://certidoes.negocio.pt/534752152.pdf,2004-08-24 15:13:07
560847530,40.7902,-7.9915,https://certidoes.negocio.pt/560847530.pdf,2020-11-19 15:13:07
917234712,32.7072,-16.8183,https://certidoes.negocio.pt/917234712.pdf,2020-05-04 15:13:07
925007141,41.2104,-8.4549,https://certidoes.negocio.pt/925007141.pdf,2002-04-13 15:13:07
565609229,38.7067,-8.9739,https://certidoes.negocio.pt/565609229.pdf,2009-06-27 15:13:07
964763022,38.7167,-9.1333,https://certidoes.negocio.pt/964763022.pdf,2021-09-18 15:13:07
905270205,40.6443,-8.6455,https://certidoes.negocio.pt/905270205.pdf,2009-04-06 15:13:07
959769892,41.1551,-8.5041,https://certidoes.negocio.pt/959769892.pdf,2011-06-18 15:13:07
985185639,41.3484,-8.3797,https://certidoes.negocio.pt/985185639.pdf,2007-03-25 15:13:07
968435447,38.7067,-8.9739,https://certidoes.negocio.pt/968435447.pdf,2024-11-04 15:13:07
921222928,37.0086,-8.9431,https://certidoes.negocio.pt/921222928.pdf,2019-12-17 15:13:07
971245561,37.0086,-8.9431,https://certidoes.negocio.pt/971245561.pdf,2008-04-18 15:13:07
959055450,41.5785,-8.5196,https://certidoes.negocio.pt/959055450.pdf,2004-05-30 15:13:07
997428011,41.1496,-8.611,https://certidoes.negocio.pt/997428011.pdf,2014-01-23 15:13:07
908417806,41.406,-7.4548,https://certidoes.negocio.pt/908417806.pdf,1999-11-05 15:13:07
919987644,41.1812,-8.1916,https://certidoes.negocio.pt/919987644.pdf,2012-10-08 15:13:07
921516056,38.7025,-9.2294,https://certidoes.negocio.pt/921516056.pdf,2000-11-13 15:13:07
983970129,32.6333,-16.9,https://certidoes.negocio.pt/983970129.pdf,1998-05-29 15:13:07
913065430,38.6681,-9.052,https://certidoes.negocio.pt/913065430.pdf,2004-10-07 15:13:07
978887148,41.2357,-8.6199,https://certidoes.negocio.pt/978887148.pdf,2021-02-21 15:13:07
955781180,40.6372,-7.3904,https://certidoes.negocio.pt/955781180.pdf,2025-11-18 15:13:07
504421436,41.4852,-8.3518,https://certidoes.negocio.pt/504421436.pdf,2014-12-01 15:13:07
